0,9% Sodium Chloride-BRAUN;Natrii chloridum;9 mg/ml;roztwór do infuzji;08754;Bezterminowe;B. Braun Melsungen AG;NAR;B05CB01
Aphtin Aflofarm;Natrii tetraboras;200 mg/g;płyn do stosowania w jamie ustnej;02714;Bezterminowe;Aflofarm Farmacja Polska Sp. z o.o.;NAR;
Apiclar;Clarithromycinum;250 mg;tabletki powlekane;23695;2022-01-31;S-Lab Sp. z o.o.;NAR;J01FA09
Apiclar;Clarithromycinum;500 mg;tabletki powlekane;23696;2022-01-31;S-Lab Sp. z o.o.;NAR;J01FA09
Apidra;Insulinum glulisinum;100 j.m./ml;roztwór do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AB06
Apidra;Insulinum glulisinum;100 j./ml;roztwór do wstrzykiwań;;;Sanofi-Aventis Deutschland GmbH;CEN;A10AB06
Apiprax;Aripiprazolum;15 mg;tabletki;23246;2021-06-03;AXXON Sp. z o.o.;DCP;N05AX12
Apipulmol;Ammonii chloridum + Kalii guaiacolosulfonas;(0,09 g + 2 g)/100 g;syrop;08220;Bezterminowe;Farmina Sp. z o.o.;NAR;R05CA09
Apis Mellifica;Homeopatyczny produkt leczniczy;4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 6K, 12K, 30K, 200K, 1MK, 10MK, 100MK;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";19236;Bezterminowe;Boiron SA;NAR;
Apitussic;Sulfogaiacolum;52 mg/5 ml;syrop;00499;Bezterminowe;Farmina Sp. z o.o.;NAR;R05CA09
Apiżel;Propolis extractum;50 mg/g;żel;09861;2016-05-30;Przedsiębiorstwo Pszczelarsko - Farmaceutyczne APIPOL-FARMA Sp. z o.o.;NAR;
Apo-Amlo 10;Amlodipinum;10 mg;tabletki;12012;Bezterminowe;Apotex Europe B.V.;MRP;C08CA01
Apo-Amlo 10;Amlodipinum;10 mg;tabletki;182/15;2020-04-09;InPharm Sp. z o.o.;IR;C08CA01
Apo-Amlo 10;Amlodipinum;10 mg;tabletki;619/15;2020-09-08;InPharm Sp. z o.o.;IR;C08CA01
Apo-Amlo 5;Amlodipinum;5 mg;tabletki;12011;Bezterminowe;Apotex Europe B.V.;MRP;C08CA01
Apo-Atorva;Atorvastatinum;10 mg;tabletki powlekane;16872;Bezterminowe;Apotex Europe B.V.;DCP;C10AA05
Apo-Atorva;Atorvastatinum;20 mg;tabletki powlekane;16873;Bezterminowe;Apotex Europe B.V.;DCP;C10AA05
Apo-Atorva;Atorvastatinum;40 mg;tabletki powlekane;16874;Bezterminowe;Apotex Europe B.V.;DCP;C10AA05
ApoBetina;Betahistini dihydrochloridum;16 mg;tabletki;14468;Bezterminowe;Apotex Europe B.V.;MRP;N07CA01
ApoBetina;Betahistini dihydrochloridum;8 mg;tabletki;14469;Bezterminowe;Apotex Europe B.V.;MRP;N07CA01
ApoBetina;Betahistini dihydrochloridum;24 mg;tabletki;23709;2022-02-06;Apotex Europe B.V.;MRP;N07CA01
Apo-Clodin;Ticlopidini hydrochloridum;250 mg;tabletki powlekane;09383;Bezterminowe;Apotex Europe B.V.;NAR;B01AC05
Apo-Doperil;Donepezili hydrochloridum;5 mg;tabletki powlekane;16574;Bezterminowe;Apotex Europe B.V.;DCP;N06DA02
Apo-Doperil;Donepezili hydrochloridum;10 mg;tabletki powlekane;16575;Bezterminowe;Apotex Europe B.V.;DCP;N06DA02
Apo-Doxan 1;Doxazosinum;1 mg;tabletki;09695;Bezterminowe;Apotex Europe B.V.;NAR;C02CA04
Apo-Doxan 2;Doxazosinum;2 mg;tabletki;09696;Bezterminowe;Apotex Europe B.V.;NAR;C02CA04
Apo-Doxan 4;Doxazosinum;4 mg;tabletki;09697;Bezterminowe;Apotex Europe B.V.;NAR;C02CA04
ApoDream;Zopiclonum;7,5 mg;tabletki powlekane;11280;Bezterminowe;Apotex Europe B.V.;NAR;N05CF01
ApoEscitaxin ORO;Escitalopramum;5 mg;tabletki ulegające rozpadowi w jamie ustnej;21584;2018-11-17;Apotex Europe B.V.;DCP;N06AB10
ApoEscitaxin ORO;Escitalopramum;10 mg;tabletki ulegające rozpadowi w jamie ustnej;21585;2018-11-17;Apotex Europe B.V.;DCP;N06AB10
ApoEscitaxin ORO;Escitalopramum;20 mg;tabletki ulegające rozpadowi w jamie ustnej;21586;2018-11-17;Apotex Europe B.V.;DCP;N06AB10
Apo-Feno 200M;Fenofibratum;200 mg;kapsułki twarde;09094;Bezterminowe;Apotex Europe B.V.;NAR;C10AB05
Apo-Fina;Finasteridum;5 mg;tabletki powlekane;12857;2022-06-13;Apotex Europe B.V.;MRP;G04CB01
Apo-Flutam;Flutamidum;250 mg;tabletki powlekane;09416;Bezterminowe;Apotex Europe B.V.;NAR;L02BB01
APO-go Ampoules;Apomorphini hydrochloridum;10 mg/ml;roztwór do wstrzykiwań lub infuzji;20538;2015-08-21;Britannia Pharmaceuticals Ltd;MRP;N04BC07
APO-go PEN;Apomorphini hydrochloridum;10 mg/ml;roztwór do wstrzykiwań;20536;2015-08-21;Britannia Pharmaceuticals Ltd;MRP;N04BC07
APO-go PFS;Apomorphini hydrochloridum;5 mg/ml;roztwór do infuzji;20537;2015-08-21;Britannia Pharmaceuticals Ltd;MRP;N04BC07
Apo-Lataprox;Latanoprostum;50 mcg/ml;krople do oczu, roztwór;18190;2016-05-01;Apotex Europe B.V.;DCP;S01EE01
Apo-Lozart;Losartanum kalicum;50 mg;tabletki powlekane;15536;Bezterminowe;Apotex Europe B.V.;DCP;C09CA01
Apo-Lozart;Losartanum kalicum;100 mg;tabletki powlekane;15537;Bezterminowe;Apotex Europe B.V.;DCP;C09CA01
ApoMigra;Sumatriptanum;50 mg;tabletki powlekane;20727;Bezterminowe;Apotex Europe B.V.;DCP;N02CC01
ApoMigra;Sumatriptanum;100 mg;tabletki powlekane;20728;Bezterminowe;Apotex Europe B.V.;DCP;N02CC01
ApoMontessan;Montelukastum;4 mg;tabletki do rozgryzania i żucia;19562;2016-01-14;Apotex Europe B.V.;DCP;R03DC03
ApoMontessan;Montelukastum;5 mg;tabletki do rozgryzania i żucia;19563;2016-01-14;Apotex Europe B.V.;DCP;R03DC03
ApoMontessan;Montelukastum;10 mg;tabletki powlekane;19564;2016-03-10;Apotex Europe B.V.;DCP;R03DC03
Apo-Napro;Naproxenum;250 mg;tabletki;14831;Bezterminowe;Apotex Europe B.V.;MRP;M01AE02
Apo-Napro;Naproxenum;500 mg;tabletki;14832;Bezterminowe;Apotex Europe B.V.;NAR;M01AE02
Apo-Napro;Naproxenum;500 mg;tabletki;502/12;2022-09-07;InPharm Sp. z o.o.;IR;M01AE02
Apo-Napro;Naproxenum;250 mg;tabletki;503/12;2017-09-06;InPharm Sp. z o.o.;IR;M01AE02
Apo-Napro;Naproxenum;500 mg;tabletki;537/12;2017-09-30;Delfarma Sp. z o.o.;IR;M01AE02
Apo-Napro;Naproxenum;250 mg;tabletki;538/12;2017-09-30;Delfarma Sp. z o.o.;IR;M01AE02
Apo-Napro Fast;Naproxenum natricum;220 mg;kapsułki miękkie;24347;2022-10-27;Apotex Europe B.V.;DCP;M01AE02
Apo-Nastrol;Anastrozolum;1 mg;tabletki powlekane;17079;Bezterminowe;Apotex Europe B.V.;DCP;L02BG03
ApoPatram;Tramadoli hydrochloridum + Paracetamolum;37,5 mg + 325 mg;tabletki powlekane;20857;2017-12-23;Apotex Europe B.V.;DCP;N02AX52
Apo-Pentox 400 SR;Pentoxifyllinum;400 mg;tabletki powlekane o przedłużonym uwalnianiu;08923;Bezterminowe;Apotex Europe B.V.;NAR;C04AD03
Apo-Perindox;tert-Butylamini Perindoprilum;4 mg;tabletki;14310;2017-06-30;Apotex Europe B.V.;MRP;C09AA04
Apo-Perindox;tert-Butylamini Perindoprilum;8 mg;tabletki;14309;2017-06-30;Apotex Europe B.V.;NAR;C09AA04
Apo-Rami;Ramiprilum;2,5 mg;tabletki;14731;Bezterminowe;Apotex Europe B.V.;DCP;C09AA05
Apo-Rami;Ramiprilum;5 mg;tabletki;14729;Bezterminowe;Apotex Europe B.V.;DCP;C09AA05
Apo-Rami;Ramiprilum;10 mg;tabletki;14730;Bezterminowe;Apotex Europe B.V.;DCP;C09AA05
Apo-Risperid;Risperidonum;1 mg;tabletki powlekane;14404;2016-01-01;Apotex Europe B.V.;MRP;N05AX08
Apo-Risperid;Risperidonum;2 mg;tabletki powlekane;14405;2016-01-01;Apotex Europe B.V.;MRP;N05AX08
Apo-Risperid;Risperidonum;4 mg;tabletki powlekane;14407;2015-08-07;Apotex Europe B.V.;MRP;N05AX08
Apo-Risperid;Risperidonum;3 mg;tabletki powlekane;14406;2016-01-01;Apotex Europe B.V.;MRP;N05AX08
ApoRopin;Ropinirolum;2 mg;tabletki o przedłużonym uwalnianiu;20341;Bezterminowe;Apotex Europe B.V.;DCP;N04BC04
ApoRopin;Ropinirolum;4 mg;tabletki o przedłużonym uwalnianiu;20342;Bezterminowe;Apotex Europe B.V.;DCP;N04BC04
ApoRopin;Ropinirolum;8 mg;tabletki o przedłużonym uwalnianiu;20343;Bezterminowe;Apotex Europe B.V.;DCP;N04BC04
ApoRoza;Rosuvastatinum;5 mg;tabletki powlekane;23511;2021-10-26;Apotex Europe B.V.;DCP;C10AA07
ApoRoza;Rosuvastatinum;10 mg;tabletki powlekane;23512;2021-10-26;Apotex Europe B.V.;DCP;C10AA07
ApoRoza;Rosuvastatinum;20 mg;tabletki powlekane;23513;2021-10-26;Apotex Europe B.V.;DCP;C10AA07
ApoRoza;Rosuvastatinum;40 mg;tabletki powlekane;23514;2021-10-26;Apotex Europe B.V.;DCP;C10AA07
ApoSerta;Sertralinum;50 mg;tabletki powlekane;21737;2019-03-06;Apotex Europe B.V.;DCP;N06AB06
ApoSerta;Sertralinum;100 mg;tabletki powlekane;21738;2019-03-06;Apotex Europe B.V.;DCP;N06AB06
Apo-Simva 10;Simvastatinum;10 mg;tabletki powlekane;12348;Bezterminowe;Apotex Europe B.V.;MRP;C10AA01
Apo-Simva 20;Simvastatinum;20 mg;tabletki powlekane;12347;Bezterminowe;Apotex Europe B.V.;MRP;C10AA01
Apo-Simva 40;Simvastatinum;40 mg;tabletki powlekane;12346;Bezterminowe;Apotex Europe B.V.;MRP;C10AA01
ApoSoli;Solifenacini succinas;5 mg;tabletki powlekane;24179;2022-08-02;Apotex Europe B.V.;DCP;G04BD08
ApoSoli;Solifenacini succinas;10 mg;tabletki powlekane;24180;2022-08-02;Apotex Europe B.V.;DCP;G04BD08
ApoSuprid;Amisulpridum;200 mg;tabletki;19607;Bezterminowe;Apotex Europe B.V.;MRP;N05AL05
ApoSuprid;Amisulpridum;400 mg;tabletki;19608;Bezterminowe;Apotex Europe B.V.;MRP;N05AL05
Apo-Tamis;Tamsulosini hydrochloridum;0,4 mg;kapsułki o przedłużonym uwalnianiu;12792;Bezterminowe;Apotex Europe B.V.;DCP;G04CA02
ApoTiapina;Quetiapinum;25 mg;tabletki powlekane;18635;Bezterminowe;Apotex Europe B.V.;MRP;N05AH04
ApoTiapina;Quetiapinum;100 mg;tabletki powlekane;18636;Bezterminowe;Apotex Europe B.V.;MRP;N05AH04
ApoTiapina;Quetiapinum;200 mg;tabletki powlekane;18637;Bezterminowe;Apotex Europe B.V.;MRP;N05AH04
ApoTilaprox;Latanoprostum + Timololum;(50 mcg + 5 mg)/ml;krople do oczu, roztwór;22184;2017-11-06;Apotex Europe B.V.;DCP;S01ED51
ApoTrimet PR;Trimetazidini dihydrochloridum;35 mg;tabletki o przedłużonym uwalnianiu;19918;2017-03-22;Apotex Europe B.V.;DCP;C01EB15
Apo-Valsart;Valsartanum;40 mg;tabletki powlekane;18285;Bezterminowe;Apotex Europe B.V.;DCP;C09CA03
Apo-Valsart;Valsartanum;80 mg;tabletki powlekane;18286;Bezterminowe;Apotex Europe B.V.;DCP;C09CA03
Apo-Valsart;Valsartanum;320 mg;tabletki powlekane;18288;Bezterminowe;Apotex Europe B.V.;DCP;C09CA03
Apo-Valsart;Valsartanum;160 mg;tabletki powlekane;18287;Bezterminowe;Apotex Europe B.V.;DCP;C09CA03
ApoValsart HCT;Valsartanum + Hydrochlorothiazidum;160 mg + 25 mg;tabletki powlekane;20759;Bezterminowe;Apotex Europe B.V.;DCP;C09DA03
Apo-Zolpin;Zolpidemi tartras;10 mg;tabletki powlekane;15645;Bezterminowe;Apotex Europe B.V.;MRP;N05CF02
Apo-Zolpin;Zolpidemi tartras;10 mg;tabletki powlekane;198/17;2022-06-13;Delfarma Sp. z o.o.;IR;N05CF02
Apra;Aripiprazolum;5 mg;tabletki;23061;2021-03-21;Adamed Sp. z o.o.;NAR;N05AX12
Apra;Aripiprazolum;10 mg;tabletki;23062;2021-03-21;Adamed Sp. z o.o.;NAR;N05AX12
Apra;Aripiprazolum;15 mg;tabletki;23063;2021-03-21;Adamed Sp. z o.o.;NAR;N05AX12
Apra;Aripiprazolum;30 mg;tabletki;23064;2021-03-21;Adamed Sp. z o.o.;NAR;N05AX12
Apra-swift;Aripiprazolum;10 mg;tabletki ulegające rozpadowi w jamie ustnej;22599;2020-08-06;Adamed Sp. z o.o.;NAR;N05AX12
Apra-swift;Aripiprazolum;15 mg;tabletki ulegające rozpadowi w jamie ustnej;22600;2020-08-06;Adamed Sp. z o.o.;NAR;N05AX12
Apra-swift;Aripiprazolum;30 mg;tabletki ulegające rozpadowi w jamie ustnej;22601;2020-08-06;Adamed Sp. z o.o.;NAR;N05AX12
Aprepitant Ethypharm;Aprepitant;80 mg;kapsułki twarde;24418;2022-11-27;Ethypharm;DCP;A04AD12
Aprepitant Ethypharm;Aprepitant;125 mg;kapsułki twarde;24419;2022-11-27;Ethypharm;DCP;A04AD12
Aprepitant Ethypharm;Aprepitant;125 mg/80 mg;kapsułki twarde;24420;2022-11-27;Ethypharm;DCP;A04AD12
AprilGen 10 mg;Quinaprilum;10 mg;tabletki powlekane;11134;Bezterminowe;Generics [UK] Ltd.;MRP;C09AA06
AprilGen 20 mg;Quinaprilum;20 mg;tabletki powlekane;11135;Bezterminowe;Generics [UK] Ltd.;MRP;C09AA06
AprilGen 40 mg;Quinaprilum;40 mg;tabletki powlekane;11136;Bezterminowe;Generics [UK] Ltd.;MRP;C09AA06
AprilGen 5 mg;Quinaprilum;5 mg;tabletki powlekane;11133;Bezterminowe;Generics [UK] Ltd.;MRP;C09AA06
Aprizexen;Aripiprazolum;15 mg;tabletki;22813;2020-11-19;PharmaSwiss Česká republika s.r.o.;DCP;N05AX12
Aprizexen;Aripiprazolum;15 mg;tabletki ulegające rozpadowi w jamie ustnej;23024;2021-02-24;PharmaSwiss Česká republika s.r.o.;DCP;N05AX12
Aprokam;Cefuroximum;50 mg;proszek do sporządzania roztworu do wstrzykiwań;20642;Bezterminowe;Laboratoires Thea;DCP;J01DC02
Aprovel;Irbesartanum;150 mg;tabletki;;;Sanofi Clir SNC;CEN;C09CA04
Aprovel;Irbesartanum;75 mg;tabletki;;;Sanofi Clir SNC;CEN;C09CA04
Aprovel;Irbesartanum;300 mg;tabletki;;;Sanofi Clir SNC;CEN;C09CA04
Aprovel;Irbesartanum;75 mg;tabletki powlekane;;;Sanofi Clir SNC;CEN;C09CA04
Aprovel;Irbesartanum;150 mg;tabletki powlekane;;;Sanofi Clir SNC;CEN;C09CA04
Aprovel;Irbesartanum;300 mg;tabletki powlekane;;;Sanofi Clir SNC;CEN;C09CA04
Apselan;Pseudoephedrini hydrochloridum;60 mg;tabletki powlekane;18088;Bezterminowe;Polfarmex S.A.;NAR;R01BA02
Aptivus;Tipranavirum;250 mg;kapsułki elastyczne;;;Boehringer Ingelheim International GmbH;CEN;J05AE09
Aptivus;Tipranavirum;100 mg/ml;roztwór doustny;;;Boehringer Ingelheim International GmbH;CEN;J05AE09
Aqua pro iniectione Kabi;Aqua pro iniectione;-;rozpuszczalnik do sporządzania leków parenteralnych;16015;Bezterminowe;Fresenius Kabi Polska Sp. z o.o.;MRP;
Aqua pro injectione Baxter;Aqua pro iniectione;;rozpuszczalnik do sporządzania leków parenteralnych;11860;Bezterminowe;Baxter Polska Sp. z o.o.;MRP;
Aqua pro injectione Polpharma;Aqua pro iniectione;;rozpuszczalnik do sporządzania leków parenteralnych;02482;Bezterminowe;Zakłady Farmaceutyczne POLPHARMA S.A.;NAR;V07AB
Aquaclin;Benzoylis peroxidum;50 mg/g;żel;22709;2020-09-29;Galderma Polska Sp. z o.o.;NAR;D10AE01
Aralia Racemosa;Homeopatyczny produkt leczniczy;2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 6K, 12K, 30K, 200K, 1MK, 10MK, 100MK;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";19310;Bezterminowe;Boiron SA;NAR;
Aranesp;Darbepoetinum alfa;10 mcg/0,4 ml (25 mcg/ml);roztwór do wstrzykiwań;;;Amgen Europe B.V.;CEN;B03XA02
Aranesp;Darbepoetinum alfa;15 mcg/0,375 ml (40 mcg/ml);roztwór do wstrzykiwań;;;Amgen Europe B.V.;CEN;B03XA02
Aranesp;Darbepoetinum alfa;20 mcg/0,5 ml (40 mcg/ml);roztwór do wstrzykiwań;;;Amgen Europe B.V.;CEN;B03XA02
Aranesp;Darbepoetinum alfa;30 mcg/0,3 ml (100 mcg/ml);roztwór do wstrzykiwań;;;Amgen Europe B.V.;CEN;B03XA02
Aranesp;Darbepoetinum alfa;40 mcg/0,4 ml (100 mcg/ml);roztwór do wstrzykiwań;;;Amgen Europe B.V.;CEN;B03XA02
Aranesp;Darbepoetinum alfa;50 mcg/0,5 ml (100 mcg/ml);roztwór do wstrzykiwań;;;Amgen Europe B.V.;CEN;B03XA02
Aranesp;Darbepoetinum alfa;60 mcg/0,3 ml (200 mcg/ml);roztwór do wstrzykiwań;;;Amgen Europe B.V.;CEN;B03XA02
Aranesp;Darbepoetinum alfa;80 mcg/0,4 ml (200 mcg/ml);roztwór do wstrzykiwań;;;Amgen Europe B.V.;CEN;B03XA02
Aranesp;Darbepoetinum alfa;100 mcg/0,5 ml (200 mcg/ml);roztwór do wstrzykiwań;;;Amgen Europe B.V.;CEN;B03XA02
Aranesp;Darbepoetinum alfa;150 mcg/0,3 ml (500 mcg/ml);roztwór do wstrzykiwań;;;Amgen Europe B.V.;CEN;B03XA02
Aranesp;Darbepoetinum alfa;300 mcg/0,6 ml (500 mcg/ml);roztwór do wstrzykiwań;;;Amgen Europe B.V.;CEN;B03XA02
Aranesp;Darbepoetinum alfa;500 mcg/ml;roztwór do wstrzykiwań;;;Amgen Europe B.V.;CEN;B03XA02
Aranesp;Darbepoetinum alfa;25 mcg/ml;roztwór do wstrzykiwań;;;Amgen Europe B.V.;CEN;B03XA02
Aranesp;Darbepoetinum alfa;130 mcg/0,65 ml (200 mcg/ml);roztwór do wstrzykiwań;;;Amgen Europe B.V.;CEN;B03XA02
Aranesp;Darbepoetinum alfa;200 mcg/ml;roztwór do wstrzykiwań;;;Amgen Europe B.V.;CEN;B03XA02
Arava;Leflunomidum;10 mg;tabletki powlekane;;;Sanofi-Aventis Deutschland GmbH;CEN;L04AA13
Arava ;Leflunomidum;100 mg;tabletki powlekane;;;Sanofi-Aventis Deutschland GmbH;CEN;L04AA13
Arava ;Leflunomidum;20 mg;tabletki powlekane;;;Sanofi-Aventis Deutschland GmbH;CEN;L04AA13
Arcalen;Extractum spissum compositum ex.: Arnicae et Calendulae anthodis + Hippocastani corticis extractum siccum;(20 mg + 12,5 mg)/g;maść;00060;Bezterminowe;"Poznańskie Zakłady Zielarskie ""Herbapol"" S.A.";NAR;
Arcoxia;Etoricoxibum;60 mg;tabletki powlekane;11466;Bezterminowe;MSD Polska Sp. z o.o.;MRP;M01AH05
Arcoxia;Etoricoxibum;90 mg;tabletki powlekane;11467;Bezterminowe;MSD Polska Sp. z o.o.;MRP;M01AH05
Arcoxia;Etoricoxibum;120 mg;tabletki powlekane;11468;Bezterminowe;MSD Polska Sp. z o.o.;MRP;M01AH05
Arcoxia;Etoricoxibum;30 mg;tabletki powlekane;22580;2020-07-19;MSD Polska Sp. z o.o.;MRP;M01AH05
Arcyzar;Cetirizini dihydrochloridum;10 mg;tabletki powlekane;23989;2022-05-17;S-Lab Sp. z o.o.;NAR;R06AE07
Arcyzar Ave;Cetirizini dihydrochloridum;10 mg;tabletki powlekane;23993;2022-05-17;S-Lab Sp. z o.o.;NAR;R06AE07
Arduan;Pipecuronii bromidum;4 mg;proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;01167;Bezterminowe;Gedeon Richter Plc.;NAR;M03AC06
Arduan;Pipecuronii bromidum;4 mg;proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;3/13;2023-01-03;Delfarma Sp. z o.o.;IR;M03AC06
Arechin;Chloroquinum;250 mg;tabletki;00619;Bezterminowe;Pabianickie Zakłady Farmaceutyczne Polfa S.A.;NAR;P01BA01
Areplex;Clopidogrelum;75 mg;tabletki powlekane;11670;Bezterminowe;Adamed Sp. z o.o.;NAR;B01AC04
Argadopin;Allopurinolum;100 mg;tabletki;23586;2021-11-29;Sandoz GmbH;DCP;M04AA01
Argadopin;Allopurinolum;300 mg;tabletki;23587;2021-11-29;Sandoz GmbH;DCP;M04AA01
Argentum Metallicum;Homeopatyczny produkt leczniczy;4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 6K, 12K, 30K, 200K, 1MK, 10MK, 100MK;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";19233;Bezterminowe;Boiron SA;NAR;
Argentum Nitricum;Homeopatyczny produkt leczniczy;4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 6K, 12K, 30K, 200K, 1MK, 10MK, 100MK;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";19228;Bezterminowe;Boiron SA;NAR;
Argol Essenza Balsamica;Preparat ziołowy;-;płyn doustny, do sporządzania inhalacji parowej i na skórę;06648;Bezterminowe;Alba Thyment Sp. z o.o.;NAR;
Argosulfan;Sulfathiazolum argentum;20 mg/g;krem;02373;Bezterminowe;PharmaSwiss Ceska Republika s.r.o.;NAR;D06BA02
Argosulfan;Sulfathiazolum argentum;20 mg/g;krem;112/13;2018-02-17;Delfarma Sp. z o.o.;IR;D06BA02
Argosulfan;Sulfathiazolum argentum;20 mg/g;krem;119/13;2018-02-21;ICHEM Sp. z o.o.;IR;D06BA02
Argosulfan;Sulfathiazolum argentum;20 mg/g;krem;614/15;2020-09-06;Forfarm Sp. z o.o.;IR;D06BA02
Argosulfan;Sulfathiazolum argentum;20 mg/g;krem;80/16;2021-02-07;InPharm Sp. z o.o.;IR;D06BA02
Argosulfan;Sulfathiazolum argentum;20 mg/g;krem;92/16;2021-02-17;Delfarma Sp. z o.o.;IR;D06BA02
Argosulfan;Sulfathiazolum argentum;20 mg/g;krem;387/16;2021-08-28;Forfarm Sp. z o.o.;IR;D06BA02
Argosulfan;Sulfathiazolum argentum;20 mg/g;krem;417/17;2022-12-14;Delfarma Sp. z o.o.;IR;D06BA02
Argosulfan;Sulfathiazolum argentum;20 mg/g;krem;440/17;2022-12-22;InPharm Sp. z o.o.;IR;D06BA02
Aribit;Aripiprazolum;5 mg;tabletki;22487;2020-06-09;Medana Pharma S.A.;NAR;N05AX12
Aribit;Aripiprazolum;10 mg;tabletki;22488;2020-06-09;Medana Pharma S.A.;NAR;N05AX12
Aribit;Aripiprazolum;15 mg;tabletki;22489;2020-06-09;Medana Pharma S.A.;NAR;N05AX12
Aribit;Aripiprazolum;30 mg;tabletki;22490;2020-06-09;Medana Pharma S.A.;NAR;N05AX12
Aribit ODT;Aripiprazolum;10 mg;tabletki ulegające rozpadowi w jamie ustnej;22851;2020-12-03;Medana Pharma S.A.;DCP;N05AX12
Aribit ODT;Aripiprazolum;15 mg;tabletki ulegające rozpadowi w jamie ustnej;22852;2020-12-03;Medana Pharma S.A.;DCP;N05AX12
Aribit ODT;Aripiprazolum;30 mg;tabletki ulegające rozpadowi w jamie ustnej;22853;2020-12-03;Medana Pharma S.A.;DCP;N05AX12
Aricept;Donepezili hydrochloridum;5 mg;tabletki powlekane;07528;Bezterminowe;Pfizer Europe MA EEIG;NAR;N06DA02
Aricept;Donepezili hydrochloridum;10 mg;tabletki powlekane;07529;Bezterminowe;Pfizer Europe MA EEIG;NAR;N06DA02
Aricept;Donepezili hydrochloridum;10 mg;tabletki powlekane;580/12;2017-10-21;Delfarma Sp. z o.o.;IR;N06DA02
Aricept;Donepezili hydrochloridum;5 mg;tabletki powlekane;193/13;2018-04-28;Delfarma Sp. z o.o.;IR;N06DA02
Aricept;Donepezili hydrochloridum;5 mg;tabletki powlekane;486/13;2018-11-18;InPharm Sp. z o.o.;IR;N06DA02
Aricept;Donepezili hydrochloridum;5 mg;tabletki powlekane;27/15;2020-01-21;Pretium Farm Sp. z o.o.;IR;N06DA02
Aricept;Donepezili hydrochloridum;10 mg;tabletki powlekane;743/15;2020-11-08;Pretium Farm Sp. z o.o.;IR;N06DA02
Ariclaim;Duloxetinum;30 mg;kapsułki dojelitowe, twarde;;;Eli Lilly Nederland B.V.;CEN;N06AX21
Ariclaim;Duloxetinum;60 mg;kapsułki dojelitowe, twarde;;;Eli Lilly Nederland B.V.;CEN;N06AX21
Aricogan;Aripiprazolum;5 mg;tabletki;23035;2021-03-03;G.L. Pharma GmbH;DCP;N05AX12
Aricogan;Aripiprazolum;10 mg;tabletki;23036;2021-03-03;G.L. Pharma GmbH;DCP;N05AX12
Aricogan;Aripiprazolum;15 mg;tabletki;23037;2021-03-03;G.L. Pharma GmbH;DCP;N05AX12
Aricogan;Aripiprazolum;30 mg;tabletki;23038;2021-03-03;G.L. Pharma GmbH;DCP;N05AX12
Arilin Rapid;Metronidazolum;1000 mg;globulki;11024;Bezterminowe;Dr. August Wolff GmbH & Co. Arzneimittel;NAR;G01AF01
Arilin Rapid;Metronidazolum;1000 mg;globulki;263/16;2021-05-12;Delfarma Sp. z o.o.;IR;G01FA01
Arilin Rapid;Metronidazolum;1000 mg;globulki;422/16;2021-10-03;InPharm Sp. z o.o.;IR;G01AF01
Arilin Rapid;Metronidazolum;1000 mg;globulki;257/17;2022-08-18;Pretium Farm Sp. z o.o.;IR;G01AF01
Arimidex;Anastrozolum;1 mg;tabletki powlekane;07567;Bezterminowe;AstraZeneca UK Limited;NAR;L02BG03
Aripilek;Aripiprazolum;10 mg;tabletki;22611;2020-08-09;Przedsiębiorstwo Farmaceutyczne LEK-AM Sp. z o.o.;NAR;N05AX12
Aripilek;Aripiprazolum;5 mg;tabletki;22610;2020-08-09;Przedsiębiorstwo Farmaceutyczne LEK-AM Sp. z o.o.;NAR;N05AX12
Aripilek;Aripiprazolum;15 mg;tabletki;22612;2020-08-09;Przedsiębiorstwo Farmaceutyczne LEK-AM Sp. z o.o.;NAR;N05AX12
Aripilek;Aripiprazolum;30 mg;tabletki;22613;2020-08-09;Przedsiębiorstwo Farmaceutyczne LEK-AM Sp. z o.o.;NAR;N05AX12
Aripiprazole +pharma;Aripiprazolum;15 mg;tabletki;22790;2020-11-11;+pharma arzneimittel GmbH;DCP;N05AX12
Aripiprazole Accord;Aripiprazolum;5 mg;tabletki;;;Accord Healthcare Limited;CEN;N05AX12
Aripiprazole Accord;Aripiprazolum;10 mg;tabletki;;;Accord Healthcare Limited;CEN;N05AX12
Aripiprazole Accord;Aripiprazolum;15 mg;tabletki;;;Accord Healthcare Limited;CEN;N05AX12
Aripiprazole Accord;Aripiprazolum;30 mg;tabletki;;;Accord Healthcare Limited;CEN;N05AX12
Aripiprazole Amneal;Aripiprazolum;5 mg;tabletki;23192;2017-02-28;Amneal Pharma Europe Limited;DCP;N05AX12
